Posting Date,Material,Material Description,Quantity,Amt.in loc.cur.,User Name,Document Header Text
22/01/2025,333/H7075,V/BLOCK 5AD/R AG ELEC,-1,-699.16,HOPKINSTR,Damaged - Post Obay
22/01/2025,334/C5697,PO CBV - LIFT RAM - SRS,-1,-165.55,HOPKINSTR,Damaged - Post Obay
22/01/2025,334/C5697,PO CBV - LIFT RAM - SRS,-1,-165.55,HOPKINSTR,Damaged - Production Z7
22/01/2025,334/C8543,5AW LH FRONT AXLE MTG,-6,-441.12,THOMPSONI,Obsolete - A. Sugden
22/01/2025,334/C8549,5AW RH FRONT AXLE MTG,-5,-367.60,THOMPSONI,Obsolete - A. Sugden
22/01/2025,334/C8549,5AW RH FRONT AXLE MTG,-9,-661.68,THOMPSONI,Obsolete - A. Sugden
22/01/2025,334/D4534,ABI WASH BTL NO LGT ARM-N,-1,-85.93,HOPKINSTR,Damaged - Post Obay
22/01/2025,334/E4837,PO CBV GUARD SRS,-1,-10.91,HOPKINSTR,Damaged - Production Z7
22/01/2025,334/F8061,LIFT ARM SUPPORT DEVICE (,-1,-41.75,HOPKINSTR,Damaged - Post Obay
22/01/2025,334/G1819,(P) FUEL FILLER MOULDING,-3,-22.86,HOPKINSTR,Damaged - Post Obay
22/01/2025,334/H2107,REAR LAMP L/H LED,-2,-75.92,HOPKINSTR,Damaged - Post Obay
22/01/2025,334/L2039,ABI WASHER BOTTLE (CUT OUT),-1,-85.15,HOPKINSTR,Damaged - Post Obay
22/01/2025,335/G5920,WA BOOM END COVER,-1,-8.31,HOPKINSTR,Damaged - Post Obay
22/01/2025,346/00500,(P) FUEL FILLER NECK (SEK),-1,-6.71,HOPKINSTR,Damaged - Production Z7
22/01/2025,34AG/BA076,HOSE -10 BSP HP 760mm B,-1,-10.32,HOPKINSTR,Damaged - Post Obay
22/01/2025,400/D8325,SA FENDER BASE RH,-1,-17.78,HOPKINSTR,Damaged - Post Obay
22/01/2025,400/D8659,SA FENDER BASE LH,-1,-17.78,HOPKINSTR,Damaged - Post Obay
22/01/2025,400/D9251,SA FENDER LH TRIM 5,-1,-17.78,HOPKINSTR,Damaged - Post Obay
22/01/2025,400/D9270,SA FENDER RH TRIM 4,-1,-17.78,HOPKINSTR,Damaged - Post Obay
22/01/2025,400/D9315,SA FENDER RH TRIM 7,-1,-17.78,HOPKINSTR,Damaged - Post Obay
22/01/2025,400/D9512,SA FENDER LH TRIM 7,-1,-17.78,HOPKINSTR,Damaged - Post Obay
22/01/2025,400/J0234,ABI AIRCLEANER LDL ST5,-1,-39.64,HOPKINSTR,Damaged - Post Obay
22/01/2025,400/J0775,MANUAL SPLIT MIRROR,-1,-13.00,HOPKINSTR,Damaged - Production Z7
22/01/2025,400/J0775,MANUAL SPLIT MIRROR,-1,-13.00,HOPKINSTR,Damaged - Post Obay
22/01/2025,400/J7089,3L AIR FILTER,-1,-34.71,HOPKINSTR,Damaged - Production Z7
22/01/2025,400/K5653,FLOORMAT,-5,-154.20,HOPKINSTR,Damaged - Post Obay
22/01/2025,400/N4123,LH 1 AUX POD MOULD P42/P3,-1,-15.08,HOPKINSTR,Damaged - Production Z7
22/01/2025,400/R6020,"PIPE-SUCTION 507, 509 & 5",-1,-13.79,HOPKINSTR,Damaged - Post Obay
22/01/2025,400/V7348,INNER TAIL PIPE (LONG),-2,-39.16,HOPKINSTR,Damaged - Post Obay
22/01/2025,401/A1343,HOSE -10 BSP HP 610mm A,-1,-11.32,HOPKINSTR,Damaged - Production Z7
22/01/2025,401/A1545,HOSE -06 BSP HP 790mm A,-1,-8.35,HOPKINSTR,Damaged - Production Z7
22/01/2025,401/E2319,POD BASE BOTTOM PANEL,-1,-7.27,HOPKINSTR,Damaged - Post Obay
22/01/2025,401/G0085,WA REAR LIGHT ARM,-2,-12.10,HOPKINSTR,Damaged - Post Obay
22/01/2025,401/G6088,EXHAUST DUCT WA,-1,-43.22,HOPKINSTR,Damaged - Production Z7
22/01/2025,401/K1134,GAS STRUT P68,-1,-6.40,HOPKINSTR,Damaged - Production Z7
22/01/2025,401/L0218,HANDBRAKE LEVER,-2,-91.94,HOPKINSTR,Damaged - Post Obay
22/01/2025,401/P9267,CONTROL VALVE BLOCK 5AN E,-1,-613.12,HOPKINSTR,Damaged - Post Obay
22/01/2025,401/V9710,ACCUMULATOR 0.93L 18.6 BA,-1,-39.80,HOPKINSTR,Damaged - Post Obay
22/01/2025,401/V9718,ACCUMULATOR 0.93L 6.9 BAR,-1,-39.80,HOPKINSTR,Damaged - Post Obay
22/01/2025,402/D8667,SA FENDER RH CONSTRUCTION,-1,-17.78,HOPKINSTR,Damaged - Post Obay
22/01/2025,402/P2799,MACHINED OUTER BOOM 5XH,-1,"-2,764.92",FERKOJ,
22/01/2025,402/S0588,RECESS COVER,-1,-35.48,HOPKINSTR,Damaged - Post Obay
22/01/2025,403/D1552,TWIN LINE TB VALVE 40BAR,-1,-310.86,HOPKINSTR,Damaged - Post Obay
22/01/2025,403/X7458,SA HOSE - 08 BSP 7660MM B,-2,-58.17,HOPKINSTR,Damaged - Post Obay
22/01/2025,553/60198,GA RAM STEER P90 60X30,-1,-97.87,HOPKINSTR,Damaged - Post Obay
22/01/2025,700/50129,REAR LIGHT & PLINTH CLUST,-4,-56.52,HOPKINSTR,Damaged - Production Z7
22/01/2025,700/50130,REAR LIGHT & PLINTH CLUST,-1,-14.75,HOPKINSTR,Damaged - Production Z7
22/01/2025,716/S3393,M10 LLMI PWM TDCR SG 75PC,-2,-232.00,HOPKINSTR,Damaged - Production Z7
22/01/2025,718/X7474,NEG FUSE LEAD,-1,-4.45,HOPKINSTR,Damaged - Post Obay
22/01/2025,718/X7575,NEG RELAY LEAD,-1,-2.71,HOPKINSTR,Damaged - Post Obay
22/01/2025,721/11313,WASHER PUMP HARNESS,-1,-2.51,HOPKINSTR,Damaged - Post Obay
22/01/2025,721/B0700,2M CABLE LEAD,-1,-22.11,HOPKINSTR,Damaged - Post Obay
22/01/2025,721/B6686,0410 COLD START LINK HARN,-1,-11.10,HOPKINSTR,Damaged - Post Obay
22/01/2025,721/M0675,TRAILER SOCKET 7 CORE CAB,-1,-9.39,HOPKINSTR,Damaged - Post Obay
22/01/2025,721/S8596,56+POD HARNESS,-1,-100.76,HOPKINSTR,Damaged - Post Obay
22/01/2025,728/D2287,CM3626 ECU,-1,-232.04,HOPKINSTR,Damaged - Post Obay
20/01/2025,333/H2396,COUNTER WEIGHT,-4,-369.50,BUTKUSA,Damaged - Materials INT
20/01/2025,400/K5653,FLOORMAT,-13,-400.92,BUTKUSA,Damaged - Post Obay
20/01/2025,401/C5751,ABI ENGINE COVER - NO BADGE,-1,-404.06,BUTKUSA,Damaged - Post Obay
20/01/2025,401/C5800,ABI ENGINE COVER - BADGE,-3,"-1,229.28",BUTKUSA,Damaged - Materials INT
20/01/2025,401/C5800,ABI ENGINE COVER - BADGE,-1,-409.76,BUTKUSA,Damaged - Post Obay
20/01/2025,401/E1271,ABI FUEL TANK,-3,-516.51,BUTKUSA,Damaged - Materials INT
20/01/2025,401/V1031,WA POD BASE 97+kW STV - B,-1,-310.96,BUTKUSA,Damaged - Materials INT
20/01/2025,402/C3094,M/C OUTER BOOM 5CH/J-UNPA,-1,"-1,772.10",THOMPSONI,Paint - Wayne Clowes
20/01/2025,403/S7167,M/C C/WEIGHT LH 5XH,-2,-305.01,BUTKUSA,Damaged - Materials INT
20/01/2025,403/S7173,M/C C/WEIGHT RH 5XH,-1,-156.08,BUTKUSA,Damaged - Materials INT
20/01/2025,556/60600,GA RAM DISP 70 x 45,-2,-402.58,BUTKUSA,Damaged - Post Obay
20/01/2025,561/60206,GA RAM SWAY 532 110X50,-1,-305.56,BUTKUSA,Damaged - Post Obay
20/01/2025,561/60235,GA RAM RAS RH 110x50 (P90 507 509 510),-1,-338.45,BUTKUSA,Damaged - Post Obay
20/01/2025,563/60123,GA RAM TILT 120 x 65 (P61 Tilt REC +P90),-1,-350.20,BUTKUSA,Damaged - Post Obay
20/01/2025,566/60090,GA RAM LIFT140 X 75(535/125 BB -Less CV),-1,-605.96,BUTKUSA,Damaged - Zone7
20/01/2025,566/60090,GA RAM LIFT140 X 75(535/125 BB -Less CV),-3,"-1,817.88",BUTKUSA,Damaged - Zone7
17/01/2025,332/J0638,AIR CLEANER,-1,-41.41,RAFEEQM,PRODUCTION ROTO
17/01/2025,334/E3472,CHASSIS SIDEPLATE LH*,-1,-427.38,FERKOJ,
17/01/2025,334/E3494,CHASSIS SIDEPLATE RH,-1,-469.25,FERKOJ,
17/01/2025,400/K4899,WA PIPE-BOOM BASE LH,-1,-56.14,RAFEEQM,PRODUCTION ROTO
17/01/2025,400/Z2881,SEALED PLUNGER SWITCH,-2,-229.82,RAFEEQM,PRODUCTION ROTO
17/01/2025,401/B2563,RH CHASSIS SIDEPLATE P55,-2,-926.83,FERKOJ,
17/01/2025,401/B4494,LH SIDE PLATE 5XL/M*,-1,-445.22,FERKOJ,
17/01/2025,401/C3892,BOOM LOGO,-2,-13.88,RAFEEQM,PRODUCTION ROTO
17/01/2025,401/L7900,RELIEF VALVE,-1,-42.92,RAFEEQM,PRODUCTION ROTO
17/01/2025,402/F9269,TELESCOPIC EXTENSION RAM,-1,"-3,526.71",BUTKUSA,Damaged - Zone7
17/01/2025,402/V1762,LH SIDEPLATE M/C,-5,"-2,310.86",FERKOJ,
17/01/2025,402/V2026,RH SIDEPLATE M/C,-14,"-6,799.17",FERKOJ,
17/01/2025,403/L9744,CHASSIS LADDER PAINTED,-2,-33.68,RAFEEQM,PRODUCTION ROTO
17/01/2025,403/N7937,PAINTED TOOLBOX BASE,-1,-34.08,RAFEEQM,PRODUCTION ROTO
17/01/2025,403/N7941,PAINTED PRS LID,-9,-151.34,RAFEEQM,PRODUCTION ROTO
17/01/2025,403/R5864,'*4OUTRIGGER EXT RAM COVE,-14,-88.76,RAFEEQM,PRODUCTION ROTO
17/01/2025,700/W7982,WORKLIGHT LED MMX 3000LM (0164Y370 ),-1,-25.68,RAFEEQM,PRODUCTION ROTO
16/01/2025,162/01562,GUARD TRASH,-1,-8.96,BUTKUSA,Damaged - Materials INT
16/01/2025,1620/2056,ADAPTOR G5/8Ax7/8SAE,-2,-1.07,BUTKUSA,Damaged - Materials INT
16/01/2025,332/C8065,AUX 2 PIPES W.A.,-1,-18.17,BUTKUSA,Damaged - Materials INT
16/01/2025,332/D0217,Hose 1/2 BSP 950MM,-1,-7.14,BUTKUSA,DAMAGED - PRODUCTION SUBS
16/01/2025,332/G4377,(W) (P) SA COUNTERWEIGHT P55,-1,-901.09,BUTKUSA,Damaged - Materials INT
16/01/2025,332/G8201,ABI DRIVE SHAFT REAR,-1,-74.32,BUTKUSA,Damaged - Materials INT
16/01/2025,332/H0550,FAN MOTOR 15cc REV,-1,-102.52,BUTKUSA,Damaged - Post Obay
16/01/2025,333/D4846,ABI 55kW EXHAUST,-1,-129.60,BUTKUSA,Damaged - Post Obay
16/01/2025,333/H7075,V/BLOCK 5AD/R AG ELEC,-1,-699.16,BUTKUSA,Damaged - Zone7
16/01/2025,333/H9146,p90 FILL MOULDING,-1,-8.22,BUTKUSA,Damaged - Zone2
16/01/2025,334/D9781,VACUUM SERVO-175X22.2X61m,-1,-83.52,BUTKUSA,Damaged - Post Obay
16/01/2025,334/E1939,HOSE A/C-LIQUID-DRIER-CON,-3,-23.31,BUTKUSA,DAMAGED - PRODUCTION SUBS
16/01/2025,334/F5315,RECEIVER DRIER (P68),-3,-31.17,BUTKUSA,DAMAGED - PRODUCTION SUBS
16/01/2025,334/G1819,(P) FUEL FILLER MOULDING,-1,-7.62,BUTKUSA,Damaged - Post Obay
16/01/2025,334/G3689,ABI HEADER TANK,-1,-16.40,BUTKUSA,Damaged - Zone2
16/01/2025,334/G3689,ABI HEADER TANK,-3,-49.21,BUTKUSA,Damaged - Materials INT
16/01/2025,33AG/DA056,HOSE -08 BSP HP 560mm B,-2,-12.12,BUTKUSA,DAMAGED - PRODUCTION SUBS
16/01/2025,33AG/DA062,HOSE -08 BSP HP 620mm B,-1,-8.34,BUTKUSA,DAMAGED - PRODUCTION SUBS
16/01/2025,346/00500,(P) FUEL FILLER NECK (SEK),-1,-6.71,BUTKUSA,Damaged - Zone2
16/01/2025,400/D9512,SA FENDER LH TRIM 7,-1,-17.78,BUTKUSA,Damaged - Post Obay
16/01/2025,400/G0714,SA HOSE -10 1160mm B,-1,-12.16,BUTKUSA,DAMAGED - PRODUCTION SUBS
16/01/2025,400/P9969,WA POD BASE 81kW STV - BL,-2,-544.86,BUTKUSA,Damaged - Materials INT
16/01/2025,400/R9764,FAN MOTOR 11cc BI-DIR SAE,-2,-410.74,BUTKUSA,DAMAGED - PRODUCTION SUBS
16/01/2025,400/U3479,WA TLTB VALVE MOUNT,-1,-17.20,BUTKUSA,Damaged - Post Obay
16/01/2025,400/X5471,MOTOR 11cc UNI-DIRECT,-6,-842.78,BUTKUSA,DAMAGED - PRODUCTION SUBS
16/01/2025,401/A1343,HOSE -10 BSP HP 610mm A,-1,-11.32,BUTKUSA,Damaged - Zone7
16/01/2025,401/B2098,RH SIDE PLATE 5XB*,-1,-520.44,FERKOJ,
16/01/2025,401/B3683,R.H. SIDEPLATE,-1,-373.98,FERKOJ,
16/01/2025,401/D3169,WA BRKT HEADER TANK,-3,-27.66,BUTKUSA,Damaged - Zone2
16/01/2025,401/G6088,EXHAUST DUCT WA,-3,-129.66,BUTKUSA,Damaged - Zone7
16/01/2025,401/J6741,WA LEFT HAND STEP STOP,-1,-5.13,BUTKUSA,Damaged - Materials INT
16/01/2025,401/P6349,WA HEADER TANK BRACKET,-1,-9.39,BUTKUSA,Damaged - Materials INT
16/01/2025,401/P6437,WA NOX ISOLATION MOUNT,-1,-1.70,BUTKUSA,Damaged - Materials INT
16/01/2025,401/V1020,WA POD BASE 81kW STV - BLACK NO DECAL,-1,-272.68,BUTKUSA,Damaged - Materials INT
16/01/2025,402/L1835,BENT WASHER PLATE (260x65,-13,-9.62,BUTKUSA,Damaged - Materials INT
16/01/2025,402/R3450,WA T4F ECU BRKT 5AX,-1,-40.91,BUTKUSA,Damaged - Materials INT
16/01/2025,402/V1762,LH SIDEPLATE M/C,-3,"-1,386.52",FERKOJ,
16/01/2025,402/V2026,RH SIDEPLATE M/C,-6,"-2,913.93",FERKOJ,
16/01/2025,403/F9439,PLATE OUTER UPPER,-1,-1.28,BUTKUSA,Damaged - Materials INT
16/01/2025,403/T5042,ABI BANCO RAD,-1,-149.36,BUTKUSA,DAMAGED - PRODUCTION SUBS
16/01/2025,566/60090,GA RAM LIFT140 X 75(535/125 BB -Less CV),-5,"-3,029.80",BUTKUSA,Damaged - Zone7
16/01/2025,613/22800,HOSE 1/2BSP 715mm,-1,-5.02,BUTKUSA,DAMAGED - PRODUCTION SUBS
16/01/2025,613/80089,HOSE,-1,-10.06,BUTKUSA,DAMAGED - PRODUCTION SUBS
16/01/2025,700/38800,(W) (P) PENDANT WORKLIGHT - 007.506-2,-1,-8.32,BUTKUSA,Damaged - Materials INT
16/01/2025,721/X9462,P42 INNER BOOM HARNESS,-1,-40.76,BUTKUSA,Damaged - Materials INT
16/01/2025,816/90070,ADAPTOR,-1,-1.00,BUTKUSA,Damaged - Materials INT
16/01/2025,816/90339,(W) (P) ADAPTOR G5/8A x G5/8A,-2,-2.43,BUTKUSA,Damaged - Materials INT
15/01/2025,160/M9004,AXLE PAIR 40K LSD,-1,"-3,807.27",BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,20/925588,Pump,-1,-396.54,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,30/926950,"Fan 23"" cooling",-1,-29.88,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,320/C4119,"HOSE-1/2 BSP TO 10-JIC,OI",-1,-14.15,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,332/C1114,DIPSTICK ASSY - LONG ABI,-1,-9.83,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,332/C8836,"HOSE FUEL, PUMP-TANK",-2,-8.70,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,332/E5772,Valve Block,-1,-833.37,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,332/E6671,PUMP - HYD 2 STAGE,-1,-367.64,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,332/E7021,(W) (P) VALVE BLOCK MTG BRACKET,-1,-9.79,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,332/F7766,BRAKE DISC M/C,-1,-33.54,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,333/C2960,fuEL HOSE,-1,-4.81,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,333/D0818,2-WAY POPPET VALVE,-1,-81.37,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,333/D2671,RESSING CAB SIDE COVER,-1,-15.10,BUTKUSA,Damaged - Materials INT
15/01/2025,333/D5983,EDGE SEAL - CUT LENGTH,-1,-1.05,BUTKUSA,Damaged - Materials INT
15/01/2025,333/E7602,VALVE BRACKET,-1,-6.50,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,333/H7075,V/BLOCK 5AD/R AG ELEC,-1,-699.16,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,334/D5773,VALVE BLOCK MOUNTING BRAC,-1,-5.14,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,334/D8272,WASHER BOTTLE BRACKET,-1,-11.16,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,334/F8588,HOSE AIR CON SEF,-1,-10.49,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,335/12135,WA PUMP OUTLET PIPE,-1,-25.62,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,346/00500,(P) FUEL FILLER NECK (SEK),-1,-6.71,BUTKUSA,Damaged - Zone7
15/01/2025,35AG/DA070,HOSE -12 BSP HP 700MM B,-1,-17.35,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,400/B7241,ABI DIPSTICK HMH,-1,-14.39,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,400/B9790,PARKER TRIPLE CHECK,-1,-58.74,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,400/D8325,SA FENDER BASE RH,-8,-142.24,BUTKUSA,Damaged - Materials INT
15/01/2025,400/D8325,SA FENDER BASE RH,-1,-17.78,BUTKUSA,Damaged - Materials INT
15/01/2025,400/D8533,SA FENDER RH TRIM 5,-2,-35.56,BUTKUSA,Damaged - Materials INT
15/01/2025,400/D8596,SA FENDER LH TRIM 6,-5,-88.90,BUTKUSA,Damaged - Materials INT
15/01/2025,400/D8659,SA FENDER BASE LH,-6,-106.68,BUTKUSA,Damaged - Materials INT
15/01/2025,400/D8688,SA FENDER RH TRIM 1,-2,-35.56,BUTKUSA,Damaged - Materials INT
15/01/2025,400/D8927,SA FENDER RH TRIM 2,-1,-17.78,BUTKUSA,Damaged - Materials INT
15/01/2025,400/D9251,SA FENDER LH TRIM 5,-3,-53.34,BUTKUSA,Damaged - Materials INT
15/01/2025,400/D9270,SA FENDER RH TRIM 4,-6,-106.68,BUTKUSA,Damaged - Materials INT
15/01/2025,400/D9315,SA FENDER RH TRIM 7,-5,-88.90,BUTKUSA,Damaged - Materials INT
15/01/2025,400/D9487,SA FENDER LH TRIM 3,-6,-106.68,BUTKUSA,Damaged - Materials INT
15/01/2025,400/D9512,SA FENDER LH TRIM 7,-4,-71.12,BUTKUSA,Damaged - Materials INT
15/01/2025,400/T1673,PIPE SUCTION P420&7,-1,-25.38,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,400/T1881,CONTROL VALVE BLOCK 5RA E,-1,-821.60,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,401/A1545,HOSE -06 BSP HP 790mm A,-1,-8.35,BUTKUSA,Damaged - Zone7
15/01/2025,401/A4739,FUEL HOSE TANK TO PUMP NG,-2,-11.70,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,401/B1647,VALVE BLOCK SCX120-F23,-2,"-2,185.16",BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,401/C5388,QUICKFIT VALVE,-1,-91.73,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,401/C5751,ABI ENGINE COVER - NO BADGE,-1,-404.06,BUTKUSA,Damaged - Post Obay
15/01/2025,401/D9196,PILOT VALVE,-1,-110.63,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,401/E8574,PIVOT VALVE 5CG,-2,-268.55,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,401/E8574,PIVOT VALVE 5CG,-1,-134.28,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,401/H3346,ABI ENGINE COVER,-1,-383.00,BUTKUSA,Damaged - Materials INT
15/01/2025,401/N8821,V/BLOCK 5XS ELEC,-1,-747.02,BUTKUSA,Damaged - Zone7
15/01/2025,401/P9267,CONTROL VALVE BLOCK 5AN E,-4,"-2,452.48",BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,401/V9088,ABI BOOM HARNESS,-1,-70.03,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,402/C9294,PARKER GEAR PUMP 36/13 P9,-1,-342.58,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,402/D8621,SA FENDER LH CONSTRUCTION,-10,-177.80,BUTKUSA,Damaged - Materials INT
15/01/2025,402/D8667,SA FENDER RH CONSTRUCTION,-2,-35.56,BUTKUSA,Damaged - Materials INT
15/01/2025,402/J4978,WA 55KW - SEF SEAL PLATE,-2,-84.08,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,402/L5545,SA FENDER BASE FL,-2,-59.34,BUTKUSA,Damaged - Materials INT
15/01/2025,402/M5836,POPPET VALVE ASSY,-1,-28.26,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,402/V1660,FUEL HOSE TANK TO FLTR- R,-1,-6.50,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,614/80094,HOSE - 10 BSP HP 495mm B,-5,-37.31,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,614/80104,HOSE 5/8 1815,-3,-23.27,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,637/80054,Hose,-1,-15.32,BUTKUSA,DAMAGED - PRODUCTION SUBS
15/01/2025,718/E0209,GRID HEATER FUSE LINK,-1,-9.91,BUTKUSA,DAMAGED - PRODUCTION SUBS
